species,annual_temp,temp_seasonality,annual_ppt,ppt_seasonality
Abies concolor,92.59,6874.58,608.57,49.35
Abies grandis,88.55,5139.14,917.31,23.31
Abies magnifica,104.61,6369.78,808.87,71.37
Acacia farnesiana,221.45,3001.51,1011.97,82.78
Acer glabrum,66.92,7550.74,574.05,40.87
Adenostoma fasciculata,146.31,5227.62,621.78,84.12
Adenostoma sparsifolium,146.52,4723.07,484.22,83.67
Amelanchier utahensis,83.26,7594.61,449.76,39.05
Arbutus menziesii,115.22,4890.67,1094.77,73.02
Arctostaphylos bakeri,132,3613.33,1120.17,90.17
Arctostaphylos canescens,100.54,4931.79,1308.48,76.69
Arctostaphylos columbiana,98.78,4497.91,1608.71,68.2
Arctostaphylos glandulosus,137.09,5011.3,737.93,82.81
Arctostaphylos glauca,147.88,4975.03,410.14,77.64
Arctostaphylos manzanita,119.43,5475.38,989.59,81.11
Arctostaphylos obispoensis,136.83,3709,498.33,89.67
Arctostaphylos patula,81.57,6622.15,783.93,53.29
Arctostaphylos tomentosa,120.25,3809.25,830,80.58
Artemisia californica,150.85,4208.49,500.72,87.6
Berberis nervosa,85.97,5303.44,1385.72,64.84
Calocedrus decurrens,104.25,5688.79,916.63,64.86
Calycanthus occidentalis,133.43,5882.98,1008.63,79.35
Ceanothus cordulatus,89.22,5916.45,979.16,73.42
Ceanothus cuneatus,128.89,5373.47,840.64,79.21
Ceanothus divergens,136.5,4386.67,925,89
Ceanothus integerrimus,116.02,5921.05,918.56,72.7
Ceanothus jepsonii,127.35,4570.15,981.4,86.1
Ceanothus leucodermis,141.71,5603.47,529.03,82.59
Ceanothus oliganthus,153.16,4405.63,435.58,86.37
Ceanothus prostratus,80.9,6163.08,909.7,63.27
Ceanothus pumilus,94,4844.17,1465.6,74.92
Ceanothus thyrsiflorus,123.38,3691.07,1130.85,80.16
Cercis occidentalis,137.97,6742.31,635.94,68.04
Chamaebatia foliosa,121.31,6260.03,949.92,78.67
Chrysolepis chrysophylla,104.25,4921.9,1215,70
Chrysolepis sempervirens,81.44,6219.57,871.33,69.37
Cornus nuttallii,106.14,5529.66,1184.85,69.59
Corylus cornuta,87.3,8707.66,1001.41,30.41
Cotoneaster lacteus,108.88,4624.86,876,27.81
Cupressus lawsoniana,107.94,5497.19,1332.06,69.88
Cupressus sargentii,127.97,4365.68,870.12,86.8
Dendromecon rigida,141.5,5030.85,691.81,85.46
Ericameria linearifolia,151.63,6665.78,360.25,66.5
Ericameria ophitidis,96.18,5904.09,1170.82,76.18
Eriodictyon californicum,128.82,5523.46,998.6,80.7
Fraxinus dipetala,146.51,5450.45,608.06,83.57
Garrya buxifolia,92.62,5066.57,1423.16,74.51
Garrya elliptica,118.38,3908.06,1030.66,64.33
